Tree,DepthIndex,Feature,Threshold
84,4,Bz_gsm,-3.8530843257904053
84,5,alpha_density,0.06437240540981293
85,0,proton_zvelocity,-45.06708908081055
85,1,Bz_gsm,-4.4196577072143555
85,2,alpha_bulk_speed,416.39105224609375
85,3,alpha_density,0.03512703254818916
85,4,mean_integrated_flux_mod,39950728.0
85,5,Bx_gse,-4.157588005065918
86,0,Temp,70.05968475341797
86,1,mean_integrated_flux_s16_mod,40513708.0
86,2,alpha_thermal,39.72404479980469
86,3,Bx_gse,2.4708478450775146
86,4,Speed_bulk_proton,402.79296875
86,5,mean_integrated_flux_s11_mod,57431544.0
87,0,mean_integrated_flux_s16_mod,44317936.0
87,1,Temp,48.82890319824219
87,2,alpha_density,0.08711987733840942
87,3,By_gse,3.796696662902832
87,4,Bz_gsm,-4.942940711975098
87,5,Speed_bulk_proton,366.81451416015625
88,0,mean_integrated_flux_s9_mod,42496768.0
88,1,Speed_bulk_proton,364.6994323730469
88,2,alpha_thermal,35.050201416015625
88,3,mean_integrated_flux_s11_mod,93859464.0
88,4,Bx_gse,3.1486454010009766
88,5,Temp,46.01580047607422
89,0,mean_integrated_flux_s17_mod,235851296.0
89,1,Speed_bulk_proton,364.6994323730469
89,2,mean_integrated_flux_s11_mod,61127320.0
89,3,Temp,42.34543228149414
89,4,Speed_bulk_proton,328.4191589355469
89,5,By_gsm,-3.4146173000335693
90,0,proton_yvelocity,37.22056579589844
90,1,mean_integrated_flux_s17_mod,283455424.0
90,2,Speed_bulk_proton,324.3674621582031
90,3,Temp,46.4185676574707
90,4,proton_yvelocity,11.22810173034668
90,5,mean_integrated_flux_s9_mod,13215638.0
91,0,Temp,68.02002716064453
91,1,mean_integrated_flux_s10_mod,24507136.0
91,2,proton_xvelocity,-357.57513427734375
91,3,alpha_bulk_speed,353.91461181640625
91,4,mean_integrated_flux_s18_mod,142177488.0
91,5,Bz_gse,1.9289973974227905
92,0,mean_integrated_flux_s9_mod,3279858.0
92,1,proton_yvelocity,12.082575798034668
92,2,mean_integrated_flux_s9_mod,12167052.0
92,3,alpha_density,0.03857310116291046
92,4,proton_xvelocity,-418.62786865234375
92,5,Temp,45.634132385253906
93,0,Temp,73.83781433105469
93,1,mean_integrated_flux_s16_mod,47971920.0
93,2,Temp,49.34557342529297
93,3,mean_integrated_flux_s9_mod,4789882.0
93,4,mean_integrated_flux_s10_mod,81641952.0
93,5,mean_integrated_flux_mod,28135388.0
94,0,mean_integrated_flux_s16_mod,84217280.0
94,1,Speed_bulk_proton,326.071044921875
94,2,proton_xvelocity,-364.7006530761719
94,3,mean_integrated_flux_s11_mod,50101344.0
94,4,By_gsm,-5.77651309967041
94,5,proton_yvelocity,15.331228256225586
95,0,mean_integrated_flux_s17_mod,279980224.0
95,1,proton_yvelocity,33.38311004638672
95,2,Temp,44.30527877807617
95,3,Speed_bulk_proton,324.3674621582031
95,4,proton_xvelocity,-360.3291015625
95,5,mean_integrated_flux_s11_mod,77208512.0
96,0,proton_xvelocity,-368.16278076171875
96,1,mean_integrated_flux_s9_mod,37874928.0
96,2,Temp,42.73063659667969
96,3,proton_xvelocity,-325.2779541015625
96,4,mean_integrated_flux_s11_mod,83110160.0
96,5,Bz_gse,-0.7302754521369934
97,0,Temp,72.05201721191406
97,1,Density,1.3102054595947266
97,2,alpha_density,0.02783474326133728
97,3,proton_yvelocity,12.44875717163086
97,4,proton_xvelocity,-420.7468566894531
97,5,Temp,45.04777908325195
98,0,proton_zvelocity,-43.95951843261719
98,1,proton_yvelocity,33.38311004638672
98,2,Temp,43.521156311035156
98,3,proton_xvelocity,-367.5121765136719
98,4,mean_integrated_flux_s11_mod,68848992.0
98,5,Bz_gse,-3.4509317874908447
99,0,mean_integrated_flux_s17_mod,266908864.0
99,1,Speed_bulk_proton,328.4191589355469
99,2,Speed_bulk_proton,368.84063720703125
99,3,mean_integrated_flux_s11_mod,63033984.0
99,4,proton_yvelocity,4.834199905395508
99,5,Bx_gsm,-0.9357658624649048
100,0,Temp,70.81845092773438
100,1,proton_xvelocity,-329.1539611816406
100,2,Temp,43.521156311035156
100,3,Speed_bulk_proton,366.1201477050781
100,4,mean_integrated_flux_s11_mod,83888864.0
100,5,alpha_density,0.10438975691795349
101,0,proton_xvelocity,-366.12103271484375
101,1,mean_integrated_flux_s11_mod,66974776.0
101,2,Temp,45.82896423339844
101,3,proton_yvelocity,8.066789627075195
101,4,By_gsm,-2.4803948402404785
101,5,Bx_gsm,-0.35029566287994385
102,0,Temp,72.46674346923828
102,1,proton_xvelocity,-326.0717468261719
102,2,Temp,45.82896423339844
102,3,mean_integrated_flux_s17_mod,294873600.0
102,4,mean_integrated_flux_s9_mod,6678026.0
102,5,proton_xvelocity,-358.3107604980469
103,0,Temp,68.35745239257812
103,1,mean_integrated_flux_s9_mod,4104385.25
103,2,alpha_density,0.07159401476383209
103,3,Bz_gsm,-5.505341053009033
103,4,alpha_thermal,49.000572204589844
103,5,By_gsm,2.7396469116210938
104,0,Speed_bulk_proton,371.24847412109375
104,1,mean_integrated_flux_s11_mod,104651648.0
104,2,Temp,43.918087005615234
104,3,proton_xvelocity,-326.0717468261719
104,4,proton_yvelocity,9.404853820800781
104,5,By_gsm,-0.39162135124206543
105,0,mean_integrated_flux_s17_mod,276477376.0
105,1,mean_integrated_flux_s9_mod,52672064.0
105,2,proton_xvelocity,-366.81451416015625
105,3,Temp,46.60652160644531
105,4,mean_integrated_flux_s11_mod,75112520.0
